Date,051910.KS_Open,051910.KS_High,051910.KS_Low,051910.KS_Close,051910.KS_Volume,005930.KS_Open,005930.KS_High,005930.KS_Low,005930.KS_Close,005930.KS_Volume,000660.KS_Open,000660.KS_High,000660.KS_Low,000660.KS_Close,000660.KS_Volume,035420.KS_Open,035420.KS_High,035420.KS_Low,035420.KS_Close,035420.KS_Volume
2026-07-30,229000.0,253500.0,229000.0,245500.0,273961,214000.0,226000.0,202000.0,207000.0,46694193,1361000.0,1459000.0,1287000.0,1322000.0,9543189,198500.0,205500.0,194100.0,194700.0,1680475
2026-07-31,252500.0,262500.0,241000.0,258000.0,307583,257000.0,267000.0,243000.0,262500.0,58478873,1697000.0,1718000.0,1586000.0,1718000.0,10499619,205000.0,212500.0,199600.0,208000.0,1766586
2026-08-03,253000.0,255500.0,238000.0,247000.0,263827,248000.0,249500.0,238000.0,239500.0,27825493,1642000.0,1645000.0,1562000.0,1567000.0,5432833,206500.0,208500.0,201500.0,207500.0,662318
2026-08-04,249500.0,257500.0,244500.0,256500.0,217286,244500.0,244500.0,228000.0,240000.0,29433821,1620000.0,1630000.0,1483000.0,1577000.0,5391210,219000.0,231500.0,215000.0,226500.0,2278507
2026-08-05,261500.0,266500.0,261000.0,263000.0,29318,254000.0,254500.0,248500.0,250500.0,5018734,1693000.0,1701000.0,1660000.0,1686000.0,877461,227000.0,233000.0,223500.0,233000.0,352184
