ticker,name,price,change_pct,market
051900,LG생활건강,292500.0,0.34,KOSPI
310970,TIGER MSCI Korea TR,46705.0,3.93,KOSPI
458730,TIGER 미국배당다우존스,15320.0,0.46,KOSPI
360200,ACE 미국S&P500,27700.0,1.32,KOSPI
004170,신세계,430000.0,1.06,KOSPI
011790,SKC,81400.0,4.23,KOSPI
001040,CJ,137800.0,4.39,KOSPI
381170,TIGER 미국테크TOP10 INDXX,32390.0,1.62,KOSPI
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,13040.0,1.99,KOSPI
052690,한전기술,102500.0,3.54,KOSPI
000990,DB하이텍,90000.0,5.88,KOSPI
111770,영원무역,88200.0,-1.12,KOSPI
411060,ACE KRX금현물,26600.0,2.29,KOSPI
082740,한화엔진,46050.0,13.01,KOSPI
395160,KODEX AI반도체TOP2플러스,38540.0,6.17,KOSPI
088350,한화생명,4355.0,1.04,KOSPI
002380,KCC,432000.0,8.95,KOSPI
004020,현대제철,27650.0,4.54,KOSPI
018880,한온시스템,3530.0,4.75,KOSPI
233740,KODEX 코스닥150레버리지,6540.0,3.07,KOSPI
423160,KODEX KOFR금리액티브(합성),110690.0,0.0,KOSPI
357870,TIGER CD금리투자KIS(합성),57860.0,0.01,KOSPI
367380,ACE 미국나스닥100,32300.0,2.38,KOSPI
273130,KODEX 종합채권(AA-이상)액티브,110205.0,0.29,KOSPI
395270,HANARO Fn K-반도체,54315.0,6.01,KOSPI
066970,엘앤에프,79800.0,2.97,KOSPI
023530,롯데쇼핑,114300.0,-0.35,KOSPI
102780,KODEX 삼성그룹,24940.0,5.59,KOSPI
022100,포스코DX,20850.0,2.71,KOSPI
0193T0,KODEX SK하이닉스단일종목레버리지,10355.0,10.75,KOSPI
036460,한국가스공사,33950.0,-0.44,KOSPI
028670,팬오션,5860.0,3.9,KOSPI
001450,현대해상,36700.0,-0.27,KOSPI
487240,KODEX AI전력핵심설비,36435.0,10.04,KOSPI
251270,넷마블,37950.0,-3.44,KOSPI
035250,강원랜드,14180.0,-2.21,KOSPI
011780,금호석유화학,119800.0,2.39,KOSPI
0043B0,TIGER 머니마켓액티브,103240.0,0.01,KOSPI
031210,서울보증보험,42950.0,0.94,KOSPI
097950,CJ제일제당,197500.0,1.23,KOSPI
455890,RISE 머니마켓액티브,55340.0,0.01,KOSPI
103590,일진전기,61100.0,8.91,KOSPI
483650,달바글로벌,232000.0,-3.13,KOSPI
012750,에스원,73600.0,1.8,KOSPI
017800,현대엘리베이터,71200.0,2.89,KOSPI
009420,한올바이오파마,53100.0,2.12,KOSPI
008930,한미사이언스,40350.0,2.93,KOSPI
375500,DL이앤씨,70900.0,7.42,KOSPI
139130,iM금융지주,17290.0,0.23,KOSPI
007340,DN오토모티브,46400.0,8.28,KOSPI
302440,SK바이오사이언스,34600.0,-0.14,KOSPI
004800,효성,161800.0,9.1,KOSPI
006360,GS건설,31150.0,8.35,KOSPI
481050,KODEX CD1년금리플러스액티브(합성),1021970.0,0.01,KOSPI
005850,에스엘,56100.0,3.7,KOSPI
139260,TIGER 200 IT,132415.0,6.92,KOSPI
426030,TIME 미국나스닥100액티브,48415.0,3.94,KOSPI
026960,동서,25200.0,-0.79,KOSPI
383220,F&F,65000.0,2.69,KOSPI
489790,한화비전,49000.0,9.62,KOSPI
011170,롯데케미칼,57700.0,0.0,KOSPI
009970,영원무역홀딩스,189900.0,-0.52,KOSPI
003690,코리안리,13830.0,0.66,KOSPI
449170,TIGER KOFR금리액티브(합성),111510.0,0.0,KOSPI
014680,한솔케미칼,225500.0,5.13,KOSPI
001720,신영증권,147100.0,3.23,KOSPI
000240,한국앤컴퍼니,25450.0,1.6,KOSPI
161890,한국콜마,102300.0,0.99,KOSPI
450080,에코프로머티,33900.0,3.51,KOSPI
204320,HL만도,50600.0,3.79,KOSPI
069960,현대백화점,110100.0,-7.01,KOSPI
486290,TIGER 미국나스닥100타겟데일리커버드콜,11060.0,2.08,KOSPI
161510,PLUS 고배당주,24745.0,0.96,KOSPI
081660,미스토홀딩스,44050.0,-0.79,KOSPI
472150,TIGER 배당커버드콜액티브,19995.0,4.25,KOSPI
279570,케이뱅크,5680.0,1.07,KOSPI
004370,농심,376500.0,0.0,KOSPI
456600,TIME 글로벌AI인공지능액티브,60575.0,3.07,KOSPI
004990,롯데지주,22850.0,0.88,KOSPI
085620,미래에셋생명,16830.0,10.87,KOSPI
278540,KODEX MSCI Korea TR,37190.0,3.96,KOSPI
336260,두산퓨얼셀,34600.0,20.98,KOSPI
103140,풍산,80700.0,14.47,KOSPI
192820,코스맥스,195000.0,-0.1,KOSPI
005440,현대지에프홀딩스,12060.0,0.5,KOSPI
139480,이마트,79700.0,-0.5,KOSPI
030000,제일기획,18700.0,-0.16,KOSPI
073240,금호타이어,7380.0,5.73,KOSPI
282330,BGF리테일,122300.0,-2.39,KOSPI
051600,한전KPS,46600.0,1.75,KOSPI
007070,GS리테일,24800.0,-1.0,KOSPI
284430,KODEX 200미국채혼합50,20920.0,2.05,KOSPI
071970,HD현대마린엔진,59200.0,12.55,KOSPI
